20128009	8.4
20091701	19.6
20142505	7.2
20102806	20
20142508	10.6
20132808	19.6
20102203	16.8
20102808	20
20113103	19.6
20113105	19.6
20134308	4.4
20143607	10.2
20102829	19.6
20132527	7.2
20103306	7.8
20142535	20
20123120	19.2
20142538	19.6
20143121	19
20131709	19.6
20114123	20
20142551	19.6
20092850	18.6
20112567	16
20113123	19.2
20143217	17.2
20143131	7.6
20122216	20
20143134	20
20121123	19.6
20112579	19.6
20144326	4.4
20122121	19.6
20122218	20
20103317	8.2
20103319	7.2
20131121	19.6
20134339	4.4
20143221	20
20144337	17
20144338	4.4
20144340	15.2
20132582	7.4
20131123	19.6
20101722	17.8
20132229	11.6
20102903	19.6
20102908	18.2
20144347	4.4
20121133	19.6
20142897	15
20122609	17.6
20113151	19.6
20131726	19.6
20081519	13.2
20132613	13.4
20143229	18.8
20143230	20
20112633	18.6
20126282	19.6
20111239	14
20133161	19.6
20132933	4.4
20142236	8.6
20112944	19.6
20132144	17.6
20122150	20
20143243	20
20143167	7.8
20102952	19.6
20114157	19.6
