20143121	15	1	16	1	2	2	5
20143134	15	2	16	1	2	2	5
20143131	13	1	16	2	2	2	5
20143167	13	2	16	2	2	2	3
20142551	15	2	16	1	2	2	5
20142505	12	1	16	1	2	2	5
20142508	10	1	16	1	1	1	2
20122150	16	1	17	1	2	2	5
20102806	16	1	16	1	1	2	3
20102829	15	2	16	1	2	2	3
20112579	13	1	16	1	2	2	2
20143243	15	2	16	1	2	2	NA
20132582	14	2	16	2	2	2	3
20144340	15	1	16	2	2	2	5
20144337	9	2	16	1	2	2	3
20144347	15	2	16	1	1	1	5
20143607	NA	2	15	1	2	2	5
20144338	13	2	16	2	1	2	4
20132933	15	1	16	1	1	2	NA
20102908	14	1	16	1	2	2	5
20102903	14	1	16	1	2	2	5
20132808	10	2	16	2	1	1	0
20123120	17	1	16	1	1	2	4
20103317	15	2	16	1	1	1	5
20103306	15	1	16	2	1	1	4
20103319	18	1	16	2	2	2	4
20102203	15	2	16	1	2	2	10
20132229	15	2	16	1	2	2	10
20142236	13	2	16	1	1	1	4
20142897	15	2	15	1	1	2	1
20101722	12	2	16	2	2	2	3
20112633	13	1	16	2	2	2	5
20112567	15	1	16	1	2	2	5
20128009	15	1	16	2	1	1	3
20143217	14	1	15	2	1	2	3
20143229	10	2	16	2	1	1	4
20143221	14	2	16	1	1	2	4
20111239	13	1	16	1	1	1	4
20122609	12	2	16	1	2	2	5
20142538	12	1	16	1	2	2	5
20114157	15	1	16	2	1	2	5
20113105	15	2	16	1	2	2	2
20113103	7	2	16	2	2	2	2
20113151	9	2	15	2	1	2	4
20113123	10	2	16	1	2	1	3
20132527	11	1	10	2	2	2	4
20131726	13	2	16	1	2	2	5
20131709	14	2	16	1	2	2	0
20092850	13	1	11	1	1	1	4
20122121	11	1	16	1	1	2	3
20133161	14	2	16	1	1	2	1
20102952	15	1	16	1	1	2	5
20134339	7	2	7	1	2	2	4
20102808	15	1	16	1	1	1	4
20121133	15	1	16	1	2	1	3
20121123	8	2	15	2	2	2	4
20081519	14	2	16	2	2	2	5
20132613	12	1	16	1	2	2	2
20122218	14	2	16	2	2	2	5
20122216	12	1	13	2	2	2	6
20112944	15	1	16	1	2	1	3
20126282	15	2	16	1	2	1	10
