1	20134308
2	20132229
3	20102203
4	20131726
5	20112944
6	20144337
7	20144340
8	20103317
9	20103319
10	20103306
11	20143243
12	20132582
13	20102808
14	20091701
15	20111239
16	20142535
17	20132527
18	20134339
19	20142508
20	20142551
21	20102952
22	20123120
23	20126282
24	20143607
25	20131123
26	20113105
27	20113103
28	20113151
29	20113123
30	20101722
31	20114157
32	20131709
33	20143167
34	20122150
35	20144347
36	20144338
37	20128009
38	20122121
39	20143230
40	20143134
41	20121123
42	20143131
43	20112633
44	20143121
45	20112579
46	20102908
47	20102903
48	20132808
49	20142538
50	20131121
51	20142505
52	20122218
53	20133161
54	20122216
55	20132613
56	20143229
57	20102806
58	20102829
59	20081519
60	20092850
61	20142236
62	20142897
63	20121133
64	20122609
65	20143221
